code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
92002,"Mme Mireille BUGAT",LDIV,1621,3.93,7.31
92002,"M. François MEUNIER",LFG,2006,4.86,9.04
92002,"M. François RIVET",LUG,4794,11.62,21.62
92002,"M. Jean-Yves SÉNANT",LUMP,13746,33.33,62.01
92004,"Mme Josiane FISCHER",LDVD,1712,3.69,6.54
92004,"M. Sébastien PIETRASANTA",LUG,9287,20.03,35.48
92004,"M. Manuel AESCHLIMANN",LUD,9021,19.46,34.46
92004,"M. Henri MASSOL",LDIV,1027,2.21,3.92
92004,"M. Francis POURBAGHER",LDIV,579,1.24,2.21
92004,"Mme Blanche MÜHLMANN",LMDM,1384,2.98,5.28
92004,"M. Cyrille DECHENOIX",LDVD,3163,6.82,12.08
92007,"M. Dominique TEIXEIRA",LEXG,215,1.01,2.03
92007,"Mme Marie-Hélène AMIABLE",LUG,6501,30.57,61.44
92007,"M. Franck ROLLOT",LEXG,257,1.20,2.42
92007,"M. Olivier SUEUR",LUMP,3607,16.96,34.09
92009,"M. Yves RÉVILLON",LUD,6130,35.54,68.55
92009,"M. David MBANZA",LVEC,678,3.93,7.58
92009,"Mme Isabelle DAHAN",LSOC,2134,12.37,23.86
92012,"Mme Isabelle GOÏTIA",LFG,1321,1.82,3.43
92012,"M. Pierre-Christophe BAGUET",LUD,18744,25.89,48.75
92012,"M. Pierre-Mathieu DUHAMEL",LDVD,10731,14.82,27.91
92012,"M. Pierre GABORIT",LUG,5269,7.28,13.70
92012,"M. Julien DUFOUR",LFN,2378,3.28,6.18
92014,"M. Henri THELLIEZ",LDVD,864,6.28,10.83
92014,"M. Denis PESCHANSKI",LUG,2840,20.65,35.60
92014,"M. Pierre OUZOULIAS",LFG,445,3.23,5.57
92014,"M. Jean-Noël CHEVREAU",LUD,3828,27.84,47.98
92019,"Mme Sylvie DELAUNE",LUG,2317,12.32,22.74
92019,"M. Georges SIFFREDI",LUD,6784,36.08,66.60
92019,"Mme Delfina DE MATOS",LDVG,180,0.95,1.76
92019,"Mme Geneviève COLOMER",LFG,904,4.80,8.87
92020,"Mme Martine GOURIET",LSOC,4768,21.84,36.30
92020,"Mme Blanche DOUCET",LFN,962,4.40,7.32
92020,"M. Jean-Pierre SCHOSTECK",LUD,7403,33.91,56.36
92022,"M. Jean-Jacques GUILLET",LUD,4053,31.38,53.49
92022,"Mme Monique COUTEAUX",LFG,420,3.25,5.54
92022,"M. Thierry BESANÇON",LDVG,1609,12.46,21.23
92022,"Mme Catherine LIME-BIFFE",LSOC,1495,11.57,19.73
92023,"Mme Vanessa JÉROME",LDVG,2393,6.82,11.04
92023,"M. Pierre RAMOGNINO",LUG,7123,20.30,32.86
92023,"M. Sofian YOUSAF",LDIV,504,1.43,2.32
92023,"M. Jean-Didier BERGER",LUD,11652,33.22,53.76
92024,"M. Rémi CARILLON",LFN,1082,3.45,6.54
92024,"Mme Marie-Claude FOURNIER",LVEC,1883,6.01,11.39
92024,"M. Jean-Claude MOINGT",LDVG,670,2.13,4.05
92024,"M. Didier SCHULLER",LUDI,3426,10.93,20.72
92024,"Mme Mireille LAMBERT",LEXG,246,0.78,1.48
92024,"Mme Mireille GITTON",LDVG,1332,4.25,8.05
92024,"M. Frédéric LE BELLOUR",LDVG,99,0.31,0.59
92024,"M. Gilles CATOIRE",LUG,4175,13.32,25.25
92024,"M. Rémi MUZEAU",LUMP,3619,11.55,21.89
92025,"M. Samuel METIAS",LUDI,1726,3.65,6.93
92025,"M. Ahmed ABIDINE",LDIV,207,0.43,0.83
92025,"M. Philippe SARRE",LUG,8616,18.24,34.59
92025,"M. Philippe GOISET",LEXG,349,0.73,1.40
92025,"M. Laurent TRUPIN",LDIV,3829,8.10,15.37
92025,"M. Adda BEKKOUCHE",LDVG,809,1.71,3.24
92025,"M. Lionnel RAINFRAY",LDVD,1102,2.33,4.42
92025,"Mme Nicole GOUETA",LUMP,8265,17.50,33.18
92026,"M. Arach DERAMBARSH",LDVD,1888,3.57,7.05
92026,"M. Khalid AIT HAMOU",LFG,912,1.72,3.40
92026,"Mme Floriane DENIAU",LFN,1972,3.73,7.37
92026,"M. Jacques KOSSOWSKI",LUD,14965,28.35,55.94
92026,"M. Jean-André LASSERRE",LUG,7011,13.28,26.21
92032,"M. Dominique LAFON",LDVG,1144,7.31,12.96
92032,"M. Laurent VASTEL",LUD,2217,14.18,25.12
92032,"M. Philippe RIBATTO",LDVD,1066,6.82,12.08
92032,"M. Michel FAYE",LDIV,1076,6.88,12.19
92032,"M. Pascal BUCHET",LUG,3321,21.24,37.63
92033,"Mme Françoise GUYOT",LSOC,1120,8.67,17.64
92033,"M. Jacques GAUTIER",LUMP,5228,40.51,82.35
92035,"Mme Adélaïde NATUREL",LFG,582,3.20,5.67
92035,"M. Philippe JUVIN",LUMP,7314,40.31,71.36
92035,"M. Nordine RANJI",LSOC,1155,6.36,11.26
92035,"M. Christophe CONWAY",LDIV,1198,6.60,11.68
92036,"Mme Jacqueline MARICHEZ-CLERO",LUMP,1362,6.56,13.38
92036,"M. Brice NKONDA",LUDI,634,3.05,6.23
92036,"M. Taoufik HALEM",LVEC,325,1.56,3.19
92036,"M. Patrice LECLERC",LFG,6250,30.12,61.43
92036,"M. Michel BRETON",LEXG,228,1.09,2.24
92036,"M. Nasser LAJILI",LDVG,1375,6.62,13.51
92040,"Mme Anne-Laure MALEYRE",LFN,1285,2.92,5.37
92040,"Mme Lysiane ALEZARD",LFG,1735,3.95,7.25
92040,"M. André SANTINI",LUD,16037,36.53,67.03
92040,"M. Thomas PUIJALON",LSOC,4866,11.08,20.34
92044,"M. Arnaud DE COURSON",LDVD,8301,19.90,32.36
92044,"Mme Annie MANDOIS",LCOM,700,1.67,2.72
92044,"M. Patrick BALKANY",LUD,13226,31.70,51.56
92044,"Mme Anne-Eugénie FAURE",LUG,3421,8.20,13.33
92046,"M. Stéphane TAUTHUI",LDVD,799,4.10,8.74
92046,"M. Joël BROSSAT",LEXG,294,1.50,3.21
92046,"Mme Emmanuelle JANNÈS",LDVG,1653,8.48,18.08
92046,"Mme Catherine MARGATE",LUG,6227,31.96,68.14
92046,"M. Denis LEMOINE",LEXG,165,0.84,1.80
92047,"Mme Christiane BARODY-WEISS",LDVD,642,54.68,100.00
92048,"M. Hervé MARSEILLE",LUD,9743,30.56,55.84
92048,"M. Bernard JASSERAND",LFG,846,2.65,4.84
92048,"M. Loïc LE NAOUR",LVEC,1157,3.62,6.63
92048,"Mme Nadia MORDELET-CARRIERE",LMDM,863,2.70,4.94
92048,"M. Romain CHETAILLE",LDVD,1720,5.39,9.85
92048,"M. Marc MOSSÉ",LSOC,3119,9.78,17.87
92049,"M. Boris GILLET",LDIV,1096,3.88,6.96
92049,"M. Joaquim TIMOTEO",LUG,4553,16.12,28.93
92049,"M. Jean-Luc LE DÉVÉHAT",LEXG,384,1.35,2.44
92049,"M. Jean-Loup METTON",LUD,9700,34.34,61.65
92050,"M. Yann LE MERRER",LEXG,593,1.29,2.77
92050,"M. Laurent STRUMANNE",LEXG,352,0.76,1.64
92050,"Mme Maryse RAMAMBASON",LEXG,447,0.97,2.08
92050,"M. Patrick JARRY",LUG,11525,25.20,53.84
92050,"M. Pierre CREUZET",LUC,2630,5.75,12.28
92050,"Mme Camille BEDIN",LUD,5856,12.80,27.36
92051,"M. Jean-Christophe FROMANTIN",LDVD,13536,35.09,66.54
92051,"M. Bernard LEPIDI",LDVD,3685,9.55,18.11
92051,"Mme Marie BRANNENS",LUG,1490,3.86,7.32
92051,"M. Franck KELLER",LDVD,1630,4.22,8.01
92060,"M. Philippe PEMEZEC",LUD,9643,49.74,77.02
92060,"M. Jean-François PAPOT",LUG,2876,14.83,22.97
92062,"M. Gérard BRAZON",LFN,1142,3.72,5.95
92062,"Mme Sylvie CANCELLONI",LDVD,2648,8.62,13.80
92062,"M. Christophe GREBERT",LDIV,2995,9.76,15.61
92062,"M. Stéphane VAZIA",LSOC,1669,5.43,8.70
92062,"Mme Joëlle CECCALDI-RAYNAUD",LUD,10729,34.96,55.92
92063,"M. Grégory BERTHAULT",LDIV,700,1.26,2.40
92063,"M. Bertrand ROCHERON",LSOC,3981,7.21,13.67
92063,"Mme Dominique RICHER",LFG,1258,2.28,4.32
92063,"M. Patrick OLLIER",LUD,16473,29.85,56.57
92063,"M. Vincent POIZAT",LVEC,1701,3.08,5.84
92063,"M. François JEANMAIRE",LDIV,5005,9.07,17.18
92064,"M. Eric BERDOATI",LUD,4724,23.25,42.81
92064,"M. Aymeric LHERMITTE",LDVD,2386,11.74,21.62
92064,"M. Guillaume L'HUILLIER",LFN,937,4.61,8.49
92064,"M. Pierre CAZENEUVE",LDIV,1586,7.80,14.37
92064,"M. Xavier BRUNSCHVICG",LSOC,1400,6.89,12.68
92071,"M. Philippe LAURENT",LUD,4226,27.99,49.12
92071,"M. Benjamin LANIER",LUG,1620,10.73,18.83
92071,"M. Christian LANCRENON",LDVD,1251,8.28,14.54
92071,"M. Jean-Jacques CAMPAN",LDIV,1505,9.96,17.49
92072,"Mme Catherine CANDELIER",LVEC,807,5.30,9.54
92072,"M. Grégoire DE LA RONCIERE",LDVD,2688,17.67,31.78
92072,"M. Gilles CHOBERT",LFG,404,2.65,4.77
92072,"Mme Laurence ROUX-FOUILLET",LUD,3017,19.83,35.67
92072,"M. Frédéric DURDUX",LSOC,1542,10.13,18.23
92073,"M. Xavier IACOVELLI",LUG,4463,16.09,29.79
92073,"M. Christian DUPUY",LUD,8392,30.26,56.02
92073,"M. Valéry BARNY",LDIV,563,2.03,3.75
92073,"M. Laurent SALLES",LFN,1562,5.63,10.42
92075,"M. Antonio DOS SANTOS",LSOC,2538,13.77,23.66
92075,"Mme Lucile SCHMID",LVEC,1045,5.67,9.74
92075,"M. Bernard GAUDUCHEAU",LUD,6549,35.54,61.06
92075,"M. Boris AMOROZ",LFG,592,3.21,5.52
92076,"Mme Virginie MICHEL-PAULSEN",LDVD,1975,31.52,56.54
92076,"M. Romain CARAYOL",LDVG,471,7.51,13.48
92076,"M. Bertrand BRUNEAU",LDVD,1047,16.71,29.97
92077,"M. Denis BADRÉ",LDVD,3075,41.02,76.75
92077,"M. Alexis GIRSZONAS",LUG,931,12.41,23.24
92078,"M. Alain-Bernard BOULANGER",LUMP,3225,25.52,56.10
92078,"M. Tommy ANOU",LDIV,389,3.07,6.76
92078,"M. William LEDAY",LUG,976,7.72,16.97
92078,"M. Gabriel MASSOU",LFG,682,5.39,11.86
92078,"M. Karim YAHIAOUI",LMDM,476,3.76,8.28
